question,链接匹配1,链接匹配2,
1,0,1,第二列值为1的行数: 310
2,0,0,第三列值为1的行数: 240
3,1,1,第二列和第三列同时为1的行数: 179
4,1,0,
5,1,0,
6,1,1,
7,0,0,
8,0,0,
9,0,0,
10,0,0,
11,1,0,
12,1,1,
13,0,0,
14,1,1,
15,1,0,
16,1,1,
17,1,1,
18,0,0,
19,1,0,
20,1,0,
21,0,0,
22,0,0,
23,0,0,
24,1,1,
25,0,0,
26,0,0,
27,1,1,
28,1,0,
29,0,0,
30,0,0,
31,0,0,
32,1,1,
33,0,1,
34,0,0,
35,0,0,
36,0,1,
37,1,0,
38,0,0,
39,0,0,
40,0,0,
41,0,0,
42,1,0,
43,1,0,
44,1,0,
45,0,0,
46,0,0,
47,1,0,
48,0,0,
49,1,1,
50,1,0,
51,0,0,
52,0,0,
53,0,0,
54,1,1,
55,1,0,
56,1,0,
57,0,1,
58,0,0,
59,0,0,
60,0,0,
61,0,0,
62,0,1,
63,0,0,
64,1,0,
65,0,1,
66,0,0,
67,1,0,
68,1,1,
69,0,0,
70,0,0,
71,0,0,
72,1,1,
73,0,0,
74,1,1,
75,1,1,
76,0,1,
77,0,0,
78,1,1,
79,1,1,
80,1,1,
81,0,0,
82,1,1,
83,1,1,
84,1,1,
85,1,1,
86,1,1,
87,1,1,
88,0,1,
89,1,0,
90,0,0,
91,0,0,
92,0,0,
93,0,0,
94,0,1,
95,1,0,
96,1,1,
97,0,0,
98,0,0,
99,0,1,
100,0,0,
101,0,0,
102,0,0,
103,0,0,
104,0,0,
105,0,0,
106,0,0,
107,0,0,
108,0,0,
109,0,0,
110,0,0,
111,0,0,
112,0,0,
113,0,1,
114,0,1,
115,0,0,
116,0,0,
117,0,0,
118,1,1,
119,0,0,
120,0,0,
121,0,1,
122,0,0,
123,0,1,
124,0,0,
125,0,1,
126,0,1,
127,1,0,
128,0,1,
129,0,0,
130,0,0,
131,1,1,
132,1,0,
133,0,0,
134,0,1,
135,0,0,
136,0,0,
137,0,0,
138,0,0,
139,0,0,
140,0,0,
141,0,0,
142,0,0,
143,0,0,
144,0,0,
145,0,0,
146,0,0,
147,0,0,
148,0,1,
149,1,0,
150,1,0,
151,1,0,
152,0,0,
153,0,0,
154,1,0,
155,1,0,
156,1,0,
157,1,1,
158,1,1,
159,1,1,
160,1,1,
161,1,1,
162,1,1,
163,0,0,
164,0,0,
165,0,0,
166,1,1,
167,0,0,
168,1,1,
169,1,1,
170,0,0,
171,0,0,
172,0,0,
173,0,0,
174,0,0,
175,0,0,
176,0,0,
177,0,0,
178,0,0,
179,0,0,
180,0,0,
181,0,0,
182,0,0,
183,0,0,
184,0,0,
185,0,0,
186,0,0,
187,1,0,
188,1,0,
189,1,0,
190,0,0,
191,0,0,
192,1,1,
193,0,1,
194,1,1,
195,1,1,
196,0,0,
197,0,0,
198,0,1,
199,1,0,
200,0,0,
201,0,0,
202,0,0,
203,0,0,
204,0,0,
205,0,0,
206,1,0,
207,0,0,
208,0,1,
209,0,0,
210,0,0,
211,0,0,
212,0,0,
213,1,0,
214,0,0,
215,1,0,
216,1,0,
217,0,0,
218,0,0,
219,0,0,
220,0,0,
221,0,1,
222,0,1,
223,0,0,
224,0,0,
225,1,0,
226,0,0,
227,0,0,
228,0,0,
229,1,1,
230,0,1,
231,0,1,
232,0,0,
233,1,1,
234,0,0,
235,1,1,
236,1,1,
237,1,0,
238,0,1,
239,1,1,
240,1,1,
241,1,0,
242,1,1,
243,0,0,
244,1,1,
245,0,0,
246,0,1,
247,1,1,
248,1,1,
249,0,0,
250,1,0,
251,0,0,
252,0,0,
253,1,1,
