question,链接匹配1,链接匹配2,共进行2406次测试
1,0,0,第二列值为1的行数: 1030
2,1,1,第三列值为1的行数: 880
3,1,0,第二列和第三列同时为1的行数: 728
4,0,0,匹配成功率为0.512
5,1,0,第一次匹配成功率为0.428
6,0,0,
7,0,0,
8,0,0,
9,0,0,
10,0,0,
11,0,0,
12,0,1,
13,1,0,
14,1,0,
15,1,1,
16,0,0,
17,1,1,
18,0,0,
19,1,1,
20,0,1,
21,0,0,
22,0,0,
23,0,1,
24,1,0,
25,0,0,
26,0,0,
27,0,1,
28,0,0,
29,0,0,
30,0,0,
31,0,0,
32,1,1,
33,0,0,
34,0,0,
35,1,0,
36,1,0,
37,1,1,
38,0,0,
39,0,0,
40,1,0,
41,1,0,
42,0,0,
43,0,0,
44,1,0,
45,1,0,
46,0,0,
47,1,0,
48,0,0,
49,1,0,
50,1,1,
51,1,0,
52,1,1,
53,1,0,
54,1,1,
55,1,0,
56,1,0,
57,0,1,
58,0,0,
59,0,0,
60,1,0,
61,1,1,
62,1,1,
63,1,1,
64,1,1,
65,0,1,
66,1,0,
67,1,1,
68,1,1,
69,0,1,
70,1,0,
71,1,1,
72,1,1,
73,1,0,
74,1,1,
75,1,1,
76,0,1,
77,0,1,
78,1,0,
79,1,1,
80,1,1,
81,0,0,
82,1,1,
83,1,1,
84,1,1,
85,1,1,
86,1,1,
87,1,1,
88,1,1,
89,1,1,
90,0,0,
91,0,0,
92,0,0,
93,0,0,
94,0,0,
95,1,0,
96,1,1,
97,1,1,
98,0,0,
99,0,1,
100,0,0,
101,0,0,
102,0,0,
103,1,0,
104,0,0,
105,0,1,
106,1,0,
107,1,0,
108,0,0,
109,0,0,
110,0,1,
111,0,0,
112,0,0,
113,1,0,
114,0,1,
115,1,1,
116,0,0,
117,0,0,
118,1,1,
119,0,0,
120,0,0,
121,1,1,
122,0,0,
123,1,0,
124,0,0,
125,0,0,
126,1,0,
127,0,0,
128,0,1,
129,1,1,
130,0,0,
131,1,1,
132,1,1,
133,1,1,
134,0,0,
135,0,0,
136,0,0,
137,0,0,
138,0,0,
139,0,0,
140,0,0,
141,0,0,
142,0,0,
143,0,0,
144,0,0,
145,0,0,
146,0,0,
147,1,1,
148,1,1,
149,1,1,
150,1,1,
151,0,0,
152,1,1,
153,1,1,
154,1,1,
155,1,1,
156,1,0,
157,1,1,
158,1,1,
159,1,1,
160,1,1,
161,1,1,
162,1,1,
163,0,0,
164,0,0,
165,1,1,
166,1,1,
167,0,0,
168,1,1,
169,1,1,
170,0,0,
171,0,0,
172,0,0,
173,0,0,
174,0,0,
175,0,0,
176,0,0,
177,0,0,
178,0,0,
179,0,0,
180,0,0,
181,0,0,
182,0,0,
183,0,0,
184,0,0,
185,0,0,
186,0,0,
187,1,1,
188,1,1,
